DATABASE;NAME;EQUATION;CODE;MAIN EQUATION;ENZYME;PATHWAY;KEGG MAPS;REVERSIBILITY;DELTAG;DELTAGERR;KEGGID;ARGONNEID;MODELID;MODELS
rxn03977;N,N-dimethyl-1,4-phenylenediamine, aniline:NADP+ oxidoreductase;cpd00006 + cpd00245 + cpd02581 <=> cpd00005 + (3) cpd00067 + cpd02360;cpd00006 + cpd00245 + cpd02581 <=> cpd00005 + cpd02360;cpd00245 + cpd02581 <=> cpd02360;1.7.1.6;;;<=>;4.8;6.44009;R05711;rxn03977;R05711;All:R05711
rxn03978;ammonia:ferricytochrome-c oxidoreductase;(2) cpd00001 + cpd00013 + (6) cpd00109 <=> (8) cpd00067 + cpd00075 + (6) cpd00110;(2) cpd00001 + cpd00013 + (6) cpd00109 <=> cpd00075 + (6) cpd00110; <=> cpd00075;1.7.2.2;Nitrogen metabolism|rn00910;00910;<=>;1e+07;1e+07;R05712;rxn03978;R05712;All:R05712
rxn03979;2-mercaptoethanesulfonate,acetoacetate:NADP+ oxidoreductase|(decarboxylating)| (decarboxylating);cpd00006 + cpd00142 + cpd02246 <=> cpd00005 + cpd00011 + cpd08336;cpd00006 + cpd00142 + cpd02246 <=> cpd00005 + cpd00011 + cpd08336;cpd00142 + cpd02246 <=> cpd08336;1.8.1.5;;;<=>;5.624;1.51936;R05713;rxn03979;R05713;All:R05713
rxn03980;glutathione:NADP+ oxidoreductase (CoA-acylating);cpd00006 + cpd00010 + cpd00042 <=> cpd00005 + cpd00067 + cpd00682;cpd00006 + cpd00010 + cpd00042 <=> cpd00005 + cpd00682;cpd00042 <=> cpd00682;1.8.1.10;;;<=;2.918;2.03765;R05714;rxn03980;R05714;All:R05714
rxn03981;mycothiol:NAD+ oxidoreductase;cpd00003 + (2) cpd04105 <=> cpd00004 + cpd00067 + cpd08341;cpd00003 + (2) cpd04105 <=> cpd00004 + cpd08341;2 cpd04105 <=> cpd08341;1.8.1.15;;;<=>;2.918;2.03765;R05715;rxn03981;R05715;All:R05715
rxn03982;mycothiol:NADP+ oxidoreductase;cpd00006 + (2) cpd04105 <=> cpd00005 + cpd00067 + cpd08341;cpd00006 + (2) cpd04105 <=> cpd00005 + cpd08341;2 cpd04105 <=> cpd08341;1.8.1.15;;;<=>;2.918;2.03765;R05716;rxn03982;R05716;All:R05716
rxn03983;AMP,sulfite:glutathione-disulfide oxidoreductase|(adenosine-5'-phosphosulfate-forming)| (adenosine-5'-phosphosulfate-forming);cpd00018 + cpd00081 + cpd00111 <=> (2) cpd00042 + cpd00193;cpd00018 + cpd00081 + cpd00111 <=> (2) cpd00042 + cpd00193;cpd00018 + cpd00081 + cpd00111 <=> 2 cpd00042 + cpd00193;1.8.4.9;;;<=>;8.972;1.95841;R05717;rxn03983;R05717;All:R05717
rxn03984;linoleate:oxygen 11S-oxidoreductase;cpd00007 + cpd01122 <=> cpd04541;cpd00007 + cpd01122 <=> cpd04541;cpd00007 + cpd01122 <=> cpd04541;1.13.11.45;Linoleic acid metabolism|rn00591;00591;=>;-65.1597;0.680777;R05718;rxn03984;R05718;All:R05718
rxn03985;3-hydroxy-1H-quinolin-4-one 2,4-dioxygenase (CO-forming);cpd00007 + cpd08342 <=> cpd00204 + cpd03364;cpd00007 + cpd08342 <=> cpd00204 + cpd03364;cpd00007 + cpd08342 <=> cpd00204 + cpd03364;1.13.11.47;;;<=>;1e+07;1.85738;R05719;rxn03985;R05719;All:R05719
rxn03986;3-hydroxy-2-methyl-1H-quinolin-4-one 2,4-dioxygenase (CO-forming);cpd00007 + cpd08343 <=> cpd00204 + cpd03773;cpd00007 + cpd08343 <=> cpd00204 + cpd03773;cpd00007 + cpd08343 <=> cpd00204 + cpd03773;1.13.11.48;;;<=>;1e+07;1.93976;R05720;rxn03986;R05720;All:R05720
rxn03987;chloride:oxygen oxidoreductase;cpd00007 + cpd00067 <=> cpd01054;cpd00007 <=> cpd01054;cpd00007 <=> cpd01054;1.13.11.49;;;<=;9.7103;0.707107;;rxn03987;;
rxn03988;phytanoyl-CoA, 2-oxoglutarate:oxygen oxidoreductase|(2-hydroxylating)| (2-hydroxylating);cpd00007 + cpd00024 + cpd01402 <=> cpd00011 + cpd00036 + cpd04546;cpd00007 + cpd00024 + cpd01402 <=> cpd00011 + cpd00036 + cpd04546;cpd00007 + cpd00024 + cpd01402 <=> cpd00036 + cpd04546;1.14.11.18;;;=>;-108.28;0.782868;R05722;rxn03988;R05722;All:R05722
rxn03989;leucocyanidin,2-oxoglutarate:oxygen oxidoreductase;cpd00007 + cpd00024 + cpd03503 <=> cpd00001 + cpd00011 + cpd00036 + cpd01135;cpd00007 + cpd00024 + cpd03503 <=> cpd00001 + cpd00011 + cpd00036 + cpd01135;cpd00007 + cpd00024 + cpd03503 <=> cpd00036 + cpd01135;1.14.11.19;Flavonoid biosynthesis|rn00941;00941;=>;-121.917;1.01059;R05723;rxn03989;R05723;All:R05723
rxn03990;nitric oxide, NAD(P)H2:oxygen oxidoreductase|nitric oxide dioxygenase;cpd00004 + (2) cpd00007 + (2) cpd00418 <=> cpd00003 + cpd00067 + (2) cpd00209;cpd00004 + (2) cpd00007 + (2) cpd00418 <=> cpd00003 + (2) cpd00209;2 cpd00007 + 2 cpd00418 <=> 2 cpd00209;1.14.12.17;Nitrogen Metabolism;;<=>;1e+07;2.27128;R05724;rxn03990|rxn09006;rxn09006|R05724|NODOx;All:rxn09006|All:R05724|All:NODOx|iAF1260:NODOx
rxn03991;nitric oxide, NADPH2:oxygen oxidoreductase|nitric oxide dioxygenase;cpd00005 + (2) cpd00007 + (2) cpd00418 <=> cpd00006 + cpd00067 + (2) cpd00209;cpd00005 + (2) cpd00007 + (2) cpd00418 <=> cpd00006 + (2) cpd00209;2 cpd00007 + 2 cpd00418 <=> 2 cpd00209;1.14.12.17;Nitrogen Metabolism;;<=>;1e+07;2.27128;R05725;rxn03991|rxn09007;rxn09007|R05725|NODOy;All:rxn09007|All:R05725|All:NODOy|iAF1260:NODOy
rxn03992;quinine, NADPH2:oxygen oxidoreductase;cpd00005 + cpd00007 + cpd00067 + cpd03936 <=> cpd00001 + cpd00006 + cpd04547;cpd00005 + cpd00007 + cpd03936 <=> cpd00001 + cpd00006 + cpd04547;cpd00007 + cpd03936 <=> cpd04547;1.14.13.67;;;<=>;1e+07;1e+07;R05727;rxn03992;R05727;All:R05727
rxn03993;4-hydroxyphenylacetaldehyde oxime, NADPH2:oxygen oxidoreductase;cpd00005 + cpd00007 + cpd00067 + cpd02667 <=> (2) cpd00001 + cpd00006 + cpd02346;cpd00005 + cpd00007 + cpd02667 <=> (2) cpd00001 + cpd00006 + cpd02346;cpd00007 + cpd02667 <=> cpd02346;1.14.13.68;Tyrosine metabolism|rn00350;00350;=>;-128.974;6.05288;R05728;rxn03993;R05728;All:R05728
rxn03994;alkene,NADH:oxygen oxidoreductase;cpd00004 + cpd00007 + cpd00067 + cpd08344 <=> cpd00001 + cpd00003 + cpd08345;cpd00004 + cpd00007 + cpd08344 <=> cpd00001 + cpd00003 + cpd08345;cpd00007 + cpd08344 <=> cpd08345;1.14.13.69;;;=>;-93.8767;2.39396;R05729;rxn03994;R05729;All:R05729
rxn03995;alkene,NADH:oxygen oxidoreductase;cpd00004 + cpd00007 + cpd00067 + cpd08344 <=> cpd00001 + cpd00003 + cpd08346;cpd00004 + cpd00007 + cpd08344 <=> cpd00001 + cpd00003 + cpd08346;cpd00007 + cpd08344 <=> cpd08346;1.14.13.69;;;=>;-93.8767;2.39396;R05730;rxn03995;R05730;All:R05730
rxn03996;sterol,NADPH:oxygen oxidoreductase (14-methyl cleaving);(3) cpd00005 + (3) cpd00007 + (2) cpd00067 + cpd01334 <=> (4) cpd00001 + (3) cpd00006 + cpd00047 + cpd08347;(3) cpd00005 + (3) cpd00007 + cpd01334 <=> (4) cpd00001 + (3) cpd00006 + cpd00047 + cpd08347;3 cpd00007 + cpd01334 <=> cpd00047 + cpd08347;1.14.13.70;Biosynthesis of steroids|rn00100;00100;=>;-294.457;5.24754;R05731;rxn03996;R05731;All:R05731
rxn03997;N-methylcoclaurine 3'-hydroxylase;cpd00005 + cpd00007 + cpd00067 + cpd03081 <=> cpd00001 + cpd00006 + cpd03094;cpd00005 + cpd00007 + cpd03081 <=> cpd00001 + cpd00006 + cpd03094;cpd00007 + cpd03081 <=> cpd03094;1.14.13.71;;;=>;-95.8267;1.31456;R05732;rxn03997;R05732;All:R05732
rxn03998;4,4-dimethyl-5a-cholest-7-en-3b-ol,hydrogen-donor:oxygen|oxidoreductase (hydroxylating)|4beta-hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta-|ol,NADH:oxygen oxidoreductase (hydroxylating)| ol,NADH:oxygen oxidoreductase (hydroxylating);cpd00004 + cpd00007 + cpd00067 + cpd02924 <=> (2) cpd00001 + cpd00003 + cpd08348;cpd00004 + cpd00007 + cpd02924 <=> (2) cpd00001 + cpd00003 + cpd08348;cpd00007 + cpd02924 <=> cpd08348;1.14.13.72;;;=>;-103.554;1.54743;R05733;rxn03998;R05733;All:R05733
rxn03999;4,4-dimethyl-5a-cholest-7-en-3b-ol,hydrogen-donor:oxygen|oxidoreductase (hydroxylating);cpd00003 + cpd00007 + (2) cpd00067 + cpd08348 <=> cpd00001 + cpd00004 + cpd02939;cpd00003 + cpd00007 + cpd08348 <=> cpd00001 + cpd00004 + cpd02939;cpd00007 + cpd08348 <=> cpd02939;1.14.13.72;;;=>;-88.9767;1.27799;;rxn03999;;
rxn04000;acetone:carbon-dioxide ligase (AMP-forming);(2) cpd00001 + cpd00002 + cpd00011 + cpd00178 <=> (2) cpd00009 + cpd00018 + (3) cpd00067 + cpd00142;(2) cpd00001 + cpd00002 + cpd00011 + cpd00178 <=> (2) cpd00009 + cpd00018 + cpd00142;cpd00002 + cpd00178 <=> cpd00018 + cpd00142;6.4.1.6;;;=>;-5.914;1.61983;R05735;rxn04000;R05735;All:R05735
rxn04001;4,4-dimethyl-5a-cholest-7-en-3b-ol,hydrogen-donor:oxygen|oxidoreductase (hydroxylating)| oxidoreductase (hydroxylating);cpd00005 + cpd00007 + cpd00067 + cpd02759 <=> cpd00001 + cpd00006 + cpd02924;cpd00005 + cpd00007 + cpd02759 <=> cpd00001 + cpd00006 + cpd02924;cpd00007 + cpd02759 <=> cpd02924;1.14.13.72;;;=>;-92.5767;1.27653;R05736;rxn04001;R05736;All:R05736
rxn04002;4,4-dimethyl-5a-cholest-7-en-3b-ol,hydrogen-donor:oxygen|oxidoreductase (hydroxylating)| oxidoreductase (hydroxylating);cpd00005 + cpd00007 + cpd00067 + cpd02924 <=> (2) cpd00001 + cpd00006 + cpd08348;cpd00005 + cpd00007 + cpd02924 <=> (2) cpd00001 + cpd00006 + cpd08348;cpd00007 + cpd02924 <=> cpd08348;1.14.13.72;;;=>;-103.554;1.54743;R05737;rxn04002;R05737;All:R05737
rxn04003;4,4-dimethyl-5a-cholest-7-en-3b-ol,hydrogen-donor:oxygen|oxidoreductase (hydroxylating)| oxidoreductase (hydroxylating);cpd00005 + cpd00007 + cpd08348 <=> cpd00001 + cpd00006 + cpd02939;cpd00005 + cpd00007 + cpd08348 <=> cpd00001 + cpd00006 + cpd02939;cpd00007 + cpd08348 <=> cpd02939;1.14.13.72;;;=>;-118.577;1.27799;R05738;rxn04003;R05738;All:R05738
rxn04004;phosphonate:NAD+ oxidoreductase;cpd00001 + cpd00003 + cpd04099 <=> cpd00004 + cpd00009 + (2) cpd00067;cpd00001 + cpd00003 + cpd04099 <=> cpd00004 + cpd00009;cpd04099;1.20.1.1;;;<=>;1e+07;1e+07;R05746;rxn04004;R05746;All:R05746
rxn04005;gluthathione:methylarsonate oxidoreductase;(2) cpd00042 + cpd00067 + cpd04505 <=> cpd00001 + cpd00111 + cpd04506;(2) cpd00042 + cpd04505 <=> cpd00001 + cpd00111 + cpd04506;2 cpd00042 + cpd04505 <=> cpd00111 + cpd04506;1.20.4.2;;;<=>;1e+07;1e+07;R05748;rxn04005;R05748;All:R05748
rxn04006;deacetylipecoside dopamine-lyase;cpd01275 + cpd02357 <=> cpd00001 + cpd00067 + cpd04514;cpd01275 + cpd02357 <=> cpd00001 + cpd04514;cpd01275 + cpd02357 <=> cpd04514;4.3.3.4;Indole and ipecac alkaloid biosynthesis|rn00901;00901;=>;-13.767;1.58486;R05749;rxn04006;R05749;All:R05749
rxn04007;deacetylisoipecoside dopamine-lyase;cpd01275 + cpd02357 <=> cpd00001 + cpd00067 + cpd04512;cpd01275 + cpd02357 <=> cpd00001 + cpd04512;cpd01275 + cpd02357 <=> cpd04512;4.3.3.3;Indole and ipecac alkaloid biosynthesis|rn00901;00901;=>;-13.767;1.58486;R05750;rxn04007;R05750;All:R05750
rxn04008;S-adenosyl-L-methionine:trichlorophenol O-methyltransferase;cpd00017 + cpd04373 <=> cpd00019 + cpd08349;cpd00017 + cpd04373 <=> cpd00019 + cpd08349;cpd00017 + cpd04373 <=> cpd00019 + cpd08349;2.1.1.136;;;<=>;-3.53;2.40602;R05754;rxn04008;R05754;All:R05754
rxn04009;S-adenosyl-L-methionine:arsenite As-methyltransferase;cpd00017 + cpd04098 <=> cpd00019 + (2) cpd00067 + cpd04505;cpd00017 + cpd04098 <=> cpd00019 + cpd04505;cpd00017 + cpd04098 <=> cpd00019 + cpd04505;2.1.1.137;;;<=>;1e+07;1e+07;R05755;rxn04009;R05755;All:R05755
rxn04010;S-adenosyl-L-methionine:3'-demethylstaurosporine O-methyltransferase;cpd00017 + cpd04552 <=> cpd00019 + cpd00067 + cpd01410;cpd00017 + cpd04552 <=> cpd00019 + cpd01410;cpd00017 + cpd04552 <=> cpd00019 + cpd01410;2.1.1.139;;;<=>;-4.36;2.22091;R05757;rxn04010;R05757;All:R05757
rxn04011;threo-3-hydroxy-L-aspartate ammonia-lyase;cpd08350 <=> cpd00013 + cpd00032;cpd08350 <=> cpd00013 + cpd00032;cpd08350 <=> cpd00032;4.3.1.16;;;=>;-5.7;0.686677;R05758;rxn04011;R05758;All:R05758
rxn04012;S-adenosyl-L-methionine:jasmonate O-methyltransferase;cpd00017 + cpd05399 <=> cpd00019 + cpd08351;cpd00017 + cpd05399 <=> cpd00019 + cpd08351;cpd00017 + cpd05399 <=> cpd00019 + cpd08351;2.1.1.141;alpha-Linolenic acid metabolism|rn00592;00592;<=>;-5.33;2.22272;R05759;rxn04012;R05759;All:R05759
rxn04013;S-adenosyl-L-methionine:cycloartenol 24-C-methyltransferase;cpd00017 + cpd01306 <=> cpd00019 + cpd00067 + cpd08352;cpd00017 + cpd01306 <=> cpd00019 + cpd08352;cpd00017 + cpd01306 <=> cpd00019 + cpd08352;2.1.1.142;;;=>;-19.86;2.2229;R05760;rxn04013;R05760;All:R05760
rxn04014;(R)-2-hydroxypropyl-CoM:2-mercaptoethanesulfonate lyase|(epoxyalkane-ring-forming)| (epoxyalkane-ring-forming);cpd08335 <=> cpd02246 + cpd08345;cpd08335 <=> cpd02246 + cpd08345;cpd08335 <=> cpd02246 + cpd08345;4.4.1.23;;;<=>;11.106;2.08661;R05761;rxn04014;R05761;All:R05761
rxn04015;(S)-2-hydroxypropyl-CoM:2-mercaptoethanesulfonate lyase|(epoxyalkane-ring-forming)| (epoxyalkane-ring-forming);cpd08337 <=> cpd02246 + cpd08346;cpd08337 <=> cpd02246 + cpd08346;cpd08337 <=> cpd02246 + cpd08346;4.4.1.23;;;<=>;11.106;2.08661;R05762;rxn04015;R05762;All:R05762
rxn04016;S-adenosyl-L-methionine:(E)-prop-1-ene-1,2,3-tricarboxylate|2'-O-methyltransferase|Trans-aconitate methyltransferase| 2'-O-methyltransferase;cpd00017 + cpd01563 <=> cpd00019 + cpd08353;cpd00017 + cpd01563 <=> cpd00019 + cpd08353;cpd00017 + cpd01563 <=> cpd00019 + cpd08353;2.1.1.144;Unassigned|Central Metabolism;;<=>;-5.33;2.22272;R05763;rxn04016|rxn08057;ACONMT|R05763|rxn08057;All:ACONMT|All:R05763|All:rxn08057|iAF1260:ACONMT|iAF692:ACONMT|iJR904:ACONMT
rxn04017;S-adenosyl-L-methionine:(E)-prop-1-ene-1,2,3-tricarboxylate|3'-O-methyltransferase| 3'-O-methyltransferase;cpd00017 + cpd01563 <=> cpd00019 + cpd08354;cpd00017 + cpd01563 <=> cpd00019 + cpd08354;cpd00017 + cpd01563 <=> cpd00019 + cpd08354;2.1.1.145;;;<=>;-5.33;2.22272;R05764;rxn04017;R05764;All:R05764
rxn04018;geranyldiphosphate diphosphate lyase (pinene forming);cpd00283 <=> cpd00012 + cpd03749;cpd00283 <=> cpd00012 + cpd03749;cpd00283 <=> cpd03749;4.2.3.14;Monoterpenoid biosynthesis|rn00902;00902;<=>;1e+07;1e+07;R05765;rxn04018;R05765;All:R05765
rxn04019;geranyldiphosphate diphosphate lyase (pinene forming);cpd00283 <=> cpd00012 + cpd03748;cpd00283 <=> cpd00012 + cpd03748;cpd00283 <=> cpd03748;4.2.3.14;Monoterpenoid biosynthesis|rn00902;00902;<=>;1e+07;1e+07;R05766;rxn04019;R05766;All:R05766
rxn04020;trehalose 6-phosphate:phosphate b-D-glucosyltransferase|trehalose 6-phosphate phosphorylase;cpd00009 + cpd00067 + cpd00523 <=> cpd00079 + cpd00501;cpd00009 + cpd00523 <=> cpd00079 + cpd00501;cpd00523 <=> cpd00079 + cpd00501;2.4.1.216;;;<=>;-0.796;0.676477;R05767;rxn04020;R05767|rll_425;All:R05767|All:rll_425|iAO358:rll_425
rxn04021;GDP-mannose:3-phosphoglycerate 3-a-D-mannosyltransferase;cpd00083 + cpd00169 <=> cpd00031 + cpd08355;cpd00083 + cpd00169 <=> cpd00031 + cpd08355;cpd00083 + cpd00169 <=> cpd00031 + cpd08355;2.4.1.217;;00051;<=>;-1.7;0.632032;R05768;rxn04021;R05768;All:R05768
rxn04022;UDP-glucose:hydroquinone-O-b-D-glucosyltransferase;cpd00026 + cpd00415 <=> cpd00014 + cpd03696;cpd00026 + cpd00415 <=> cpd00014 + cpd03696;cpd00026 + cpd00415 <=> cpd00014 + cpd03696;2.4.1.218;;;<=>;-1.7;0.632032;R05769;rxn04022;R05769;All:R05769
rxn04023;N-cyclohexylformamide hydro-lyase;cpd00067 + cpd08356 <=> cpd00001 + cpd08357;cpd08356 <=> cpd00001 + cpd08357;cpd08356 <=> cpd08357;4.2.1.103;Caprolactam degradation|rn00930;00930;<=>;1e+07;1e+07;R05771;rxn04023;R05771;All:R05771
rxn04024;trans-feruloyl-CoA hydro-lyase|trans-feruloyl-coa hydratase;cpd00001 + cpd00321 <=> cpd04511;cpd00001 + cpd00321 <=> cpd04511;cpd00321 <=> cpd04511;4.2.1.101;Ferulate / vanillate degradation;;<=>;2.657;0.874306;R05772;rxn04024;4.2.1.101-RXN|R05772;All:4.2.1.101-RXN|All:R05772|iAbaylyiv4:4.2.1.101-RXN
rxn04025;3-hydroxy-3-(4-hydroxy-3-methoxyphenyl)propionyl-CoA:vanillin lyase|(acetyl-CoA-forming)|vanillin synthase| (acetyl-CoA-forming);cpd04511 <=> cpd00022 + cpd00561;cpd04511 <=> cpd00022 + cpd00561;cpd04511 <=> cpd00022 + cpd00561;4.1.2.41;Ferulate / vanillate degradation;;<=>;-0.8;0.378643;R05773;rxn04025;R05773|4.1.2.41-RXN;All:R05773|All:4.1.2.41-RXN|iAbaylyiv4:4.1.2.41-RXN
rxn04026;sulfopyruvate carboxy-lyase|sulfopyruvate carboxy-lyase|sulfopyruvate decarboxylase;cpd00067 + cpd03285 <=> cpd00011 + cpd00460;cpd03285 <=> cpd00011 + cpd00460;cpd03285 <=> cpd00460;4.1.1.79;Coenzyme M Biosynthesis;;=>;-4.09;0.595908;R05774;rxn04026;SPDC|R05774;All:SPDC|All:R05774|iAF692:SPDC
rxn04027;UDP-6-sulfo-6-deoxyglucose sulfohydrolase;cpd00026 + cpd00081 <=> cpd00001 + cpd08358;cpd00026 + cpd00081 <=> cpd00001 + cpd08358;cpd00026 + cpd00081 <=> cpd08358;3.13.1.1;Nucleotide sugars metabolism|Glycerolipid metabolism|rn00520|rn00561;00520|00561;<=>;-12.7895;1.02935;R05775;rxn04027;R05775;All:R05775
rxn04028;S-adenosyl-L-methionine:24-methylenelophenol C-methyltransferase;cpd00017 + cpd08359 <=> cpd00019 + cpd00067 + cpd08360;cpd00017 + cpd08359 <=> cpd00019 + cpd08360;cpd00017 + cpd08359 <=> cpd00019 + cpd08360;2.1.1.143;Biosynthesis of steroids|rn00100;00100;=>;-16.73;2.21495;R05776;rxn04028;R05776;All:R05776
rxn04029;4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating);cpd00007 + cpd00868 <=> cpd00011 + cpd08362;cpd00007 + cpd00868 <=> cpd00011 + cpd08362;cpd00007 + cpd00868 <=> cpd08362;1.13.11.46;;;=>;-108.28;0.782868;R05778;rxn04029;R05778;All:R05778
rxn04030;5-Diphosphoinositol pentakisphosphate diphosphohydrolase;cpd00001 + cpd08361 <=> cpd00009 + cpd00067 + cpd00885;cpd00001 + cpd08361 <=> cpd00009 + cpd00885;cpd08361 <=> cpd00885;3.6.1.52;;;=>;-6.817;0.717554;R05779;rxn04030;R05779|PMI12346PH;All:R05779|iMM904:PMI12346PH
rxn04031;thiocyanate aminohydrolase;cpd00001 + (2) cpd00067 + cpd01211 <=> cpd00013 + cpd04536;cpd00001 + cpd01211 <=> cpd00013 + cpd04536;cpd01211 <=> cpd04536;3.5.5.8;;;<=>;1e+07;1e+07;R05780;rxn04031|rxn11498|rxn11926|rxn12010|rxn12488;rxn11498|R05780|rxn12488|rxn11926|rxn12010;All:rxn11498|All:R05780|All:rxn12488|All:rxn11926|All:rxn12010
rxn04032;cyclic-imide amidohydrolase (decyclicizing);cpd00001 + cpd04491 <=> cpd00067 + cpd01123;cpd00001 + cpd04491 <=> cpd01123;cpd04491 <=> cpd01123;3.5.2.16;;;<=>;0.397;1.26729;R05781;rxn04032;R05781;All:R05781
rxn04033;mandelamide hydrolase;cpd00001 + cpd04509 <=> cpd00013 + cpd01357;cpd00001 + cpd04509 <=> cpd00013 + cpd01357;cpd04509 <=> cpd01357;3.5.1.86;;;=>;-4.723;0.88056;R05783;rxn04033;R05783;All:R05783
rxn04034;limonene-1,2-epoxide hydrolase;cpd00001 + cpd04490 <=> cpd04495;cpd00001 + cpd04490 <=> cpd04495;cpd04490 <=> cpd04495;3.3.2.8;Limonene and pinene degradation|rn00903;00903;<=;9.187;3.68395;R05784;rxn04034;R05784;All:R05784
rxn04035;6-O-(beta-D-xylopyranosyl)-beta-D-glucopyranoside|6-O-(beta-D-xylosyl)-beta-D-glucohydrolase| 6-O-(beta-D-xylosyl)-beta-D-glucohydrolase;cpd00001 + cpd08364 <=> cpd00057 + cpd08365;cpd00001 + cpd08364 <=> cpd00057 + cpd08365;cpd08364 <=> cpd00057 + cpd08365;3.2.1.149;;;<=>;-3.113;0.692797;R05788;rxn04035;R05788;All:R05788
rxn04036;(R)-2-phospho-3-sulfolactate phosphohydrolase;cpd00001 + cpd08366 <=> cpd00009 + cpd00067 + cpd08367;cpd00001 + cpd08366 <=> cpd00009 + cpd08367;cpd08366 <=> cpd08367;3.1.3.71;;;=>;-2.317;0.735634;R05789;rxn04036;R05789;All:R05789
rxn04037;alpha-D-mannosyl-3-phosphoglycerate phosphohydrolase;cpd00001 + cpd08355 <=> cpd00009 + cpd00067 + cpd08374;cpd00001 + cpd08355 <=> cpd00009 + cpd08374;cpd08355 <=> cpd08374;3.1.3.70;;00051;=>;-2.317;0.735634;R05790;rxn04037;R05790;All:R05790
rxn04038;2-(beta-D-glucosyl)-sn-glycerol-3-phosphate phosphohydrolase;cpd00001 + cpd07403 <=> cpd00009 + cpd00067 + cpd08376;cpd00001 + cpd07403 <=> cpd00009 + cpd08376;cpd07403 <=> cpd08376;3.1.3.69;;;=>;-2.317;0.735634;R05791;rxn04038;R05791;All:R05791
rxn04039;ATP:1D-myo-inositol-hexakisphosphate phosphotransferase;cpd00002 + cpd00885 <=> cpd00008 + cpd08050;cpd00002 + cpd00885 <=> cpd00008 + cpd08050;cpd00002 + cpd00885 <=> cpd00008 + cpd08050;2.7.4.21;;;<=>;0;2;R05799;rxn04039;R05799;All:R05799
rxn04040;ATP:1D-myo-inositol-1,4,5-trisphosphate 6-phosphotransferase;cpd00002 + cpd00916 <=> cpd00008 + cpd08377;cpd00002 + cpd00916 <=> cpd00008 + cpd08377;cpd00002 + cpd00916 <=> cpd00008 + cpd08377;2.7.1.151;Inositol phosphate metabolism|rn00562;00562;<=>;-4.5;0.23673;R05800;rxn04040;R05800|MI145P6Kn;All:R05800|iMM904:MI145P6Kn
rxn04041;ATP:1D-myo-inositol-1,4,5-trisphosphate 6-phosphotransferase;cpd00002 + cpd08377 <=> cpd00008 + cpd00943;cpd00002 + cpd08377 <=> cpd00008 + cpd00943;cpd00002 + cpd08377 <=> cpd00008 + cpd00943;2.7.1.151;Inositol phosphate metabolism|rn00562;00562;<=>;-4.5;0.23673;R05801;rxn04041;R05801|MI1456PKn;All:R05801|iMM904:MI1456PKn
rxn04042;ADP:D-glucose 6-phosphotransferase|ADP:D-glucose 6-phosphotransferase|ADP-specific glucokinase;cpd00008 + cpd00027 <=> cpd00018 + cpd00079;cpd00008 + cpd00027 <=> cpd00018 + cpd00079;cpd00008 + cpd00027 <=> cpd00018 + cpd00079;2.7.1.147;Glycolysis/Gluconeogenesis;;<=>;-4.5;0.23673;R05804;rxn04042;GK (adp)|R05804;All:GK (adp)|All:R05804|iAF692:GK (adp)
rxn04043;ADP:D-fructose-6-phosphate 1-phosphotransferase|ADP:D-fructose-6-phosphate 1-phosphotransferase|ADP-specific phosphofructokinase;cpd00008 + cpd00072 <=> cpd00018 + cpd00290;cpd00008 + cpd00072 <=> cpd00018 + cpd00290;cpd00008 + cpd00072 <=> cpd00018 + cpd00290;2.7.1.146;Glycolysis/Gluconeogenesis;;<=>;-4.5;0.23673;R05805;rxn04043;R05805|PFK (adp);All:R05805|All:PFK (adp)|iAF692:PFK (adp)
rxn04044;ATP:deoxynucleoside 5'-phosphotransferase;cpd00002 + cpd01529 <=> cpd00008 + cpd00513;cpd00002 + cpd01529 <=> cpd00008 + cpd00513;cpd00002 + cpd01529 <=> cpd00008 + cpd00513;2.7.1.145;;;<=>;-4.5;0.23673;R05806;rxn04044;R05806;All:R05806
rxn04045;sirohydrochlorin cobalt-lyase;(2) cpd00067 + cpd00149 + cpd03426 <=> cpd08368;cpd00149 + cpd03426 <=> cpd08368;cpd00149 + cpd03426 <=> cpd08368;4.99.1.3;Porphyrin and chlorophyll metabolism|rn00860;00860;<=>;1e+07;1e+07;R05807;rxn04045;R05807;All:R05807
rxn04046;S-adenosyl-L-methionine:cobalt-factor-II C20-methyltransferase|S-adenosyl-L-methionine:cobalt-factor-II C20-methyltransferase|precorrin-2 C20-methyltransferase;cpd00017 + cpd08368 <=> cpd00019 + cpd00067 + cpd08369;cpd00017 + cpd08368 <=> cpd00019 + cpd08369;cpd00017 + cpd08368 <=> cpd00019 + cpd08369;2.1.1.151;Porphyrin and chlorophyll metabolism|Porphyrin and chlorophyll metabolism|Vitamins & Cofactor Biosynthesis|Porphyrin Metabolism|rn00860;00860;<=>;1e+07;1e+07;R05808;rxn04046;R05808|CPC2MT;All:R05808|All:CPC2MT|iAF692:CPC2MT|iMEO21:CPC2MT|iNJ661:CPC2MT
